book,windows,median_x,mean_x,P(double)_%,P(profit)_%,P(-50%)_%,P(ruin)_%,best_x,worst_x
2% risk,255,1.0,1.04,0.0,49.8,0.0,0.0,1.77,0.771
5% risk,255,0.96,1.08,5.1,47.1,0.0,0.0,3.01,0.51
8% risk,255,0.91,1.13,9.8,45.1,11.8,0.0,4.37,0.31
12% risk,255,0.82,1.14,13.3,38.8,22.7,0.0,6.18,0.144
16% risk,255,0.77,1.11,13.3,37.3,27.5,0.0,7.07,0.13
20% risk,255,0.68,1.04,12.5,31.0,31.4,2.4,7.18,0.063
28% risk,255,0.61,1.0,12.2,27.1,40.0,2.7,8.04,0.035
40% risk,255,0.48,1.01,11.4,27.8,51.4,6.7,9.02,0.051
55% risk,255,0.48,1.0,12.2,27.5,50.2,8.2,9.02,0.051
100x fixed,255,0.05,0.06,0.0,0.4,97.6,94.5,1.09,0.003
