start,r002,r005,r008,r012,r016,r020,r028,r040,r055,lev100
2023-01-17,0.9636,0.9033,0.8373,0.7422,0.7106,0.7128,0.6816,0.2408,0.2149,0.05
2023-01-22,0.9168,0.7975,0.6858,0.5502,0.4312,0.329,0.2244,0.138,0.1096,0.004
2023-01-27,0.9496,0.8721,0.7933,0.6884,0.5859,0.4878,0.4073,0.3038,0.2625,0.0092
2023-02-01,0.9934,0.9771,0.9531,0.8948,0.7882,0.6806,0.5486,0.3578,0.2745,0.016
2023-02-06,0.9879,0.9632,0.9309,0.8628,0.7509,0.6406,0.4929,0.2939,0.2188,0.016
2023-02-11,0.974,0.918,0.8397,0.7289,0.7472,0.7467,0.7173,0.6535,0.9638,0.0186
2023-02-16,0.9385,0.8375,0.7261,0.5782,0.5292,0.4825,0.3858,0.2577,0.8083,0.0284
2023-02-21,0.9635,0.8934,0.8037,0.671,0.6427,0.6122,0.5115,0.357,0.8155,0.0284
2023-02-26,0.9002,0.7519,0.6071,0.4429,0.4303,0.4286,0.4332,0.432,0.907,0.0497
2023-03-03,0.8909,0.7316,0.5801,0.4121,0.389,0.3555,0.3013,0.2288,0.4464,0.0349
2023-03-08,0.8616,0.6688,0.4953,0.3357,0.3086,0.2634,0.1915,0.1143,0.1063,0.012
2023-03-13,1.0074,1.0049,0.9871,0.9419,0.9809,0.9766,0.663,0.3252,0.267,0.0086
2023-03-18,1.1004,1.2494,1.3946,1.5497,1.6493,1.6249,0.9869,0.371,0.2462,0.0606
2023-03-23,0.9711,0.921,0.8634,0.8329,0.8241,0.7121,0.4176,0.2041,0.1686,0.0035
2023-03-28,0.935,0.8325,0.7264,0.6281,0.6056,0.62,0.3826,0.1666,0.1077,0.0067
2023-04-02,0.9114,0.7808,0.6552,0.5373,0.4908,0.505,0.3268,0.1676,0.1276,0.0154
2023-04-07,0.9137,0.7858,0.6619,0.5455,0.5009,0.518,0.3386,0.174,0.1325,0.0154
2023-04-12,0.987,0.9525,0.9024,0.8156,0.6963,0.5335,0.4175,0.3095,0.293,0.0035
2023-04-17,0.9655,0.9062,0.8394,0.7685,0.737,0.5976,0.5288,0.4069,0.3828,0.0047
2023-04-22,0.887,0.7243,0.5729,0.4285,0.4415,0.3914,0.3378,0.2778,0.2747,0.0056
2023-04-27,0.9186,0.7986,0.6834,0.5901,0.6139,0.5743,0.5534,0.5153,0.5146,0.0097
2023-05-02,0.9254,0.8039,0.6755,0.5935,0.659,0.6224,0.5737,0.4367,0.428,0.015
2023-05-07,0.9252,0.8021,0.6714,0.5873,0.563,0.491,0.4711,0.4449,0.4584,0.0199
2023-05-12,1.0918,1.1533,1.1302,0.9723,1.0023,0.8197,0.6864,0.5128,0.5044,0.0661
2023-05-17,1.1181,1.2234,1.2422,1.1108,1.2277,1.0634,0.9993,0.8176,0.8041,0.0627
2023-05-22,1.319,1.8302,2.3362,2.8052,2.4895,3.2287,5.0536,5.534,5.6866,0.0049
2023-05-27,1.4893,2.4755,3.7971,4.4953,5.2748,6.5079,8.0416,8.5517,8.5554,0.0112
2023-06-01,1.2206,1.5574,1.8873,2.426,2.0173,2.419,2.6942,4.3798,2.8625,0.015
2023-06-06,1.1319,1.2883,1.3865,1.4483,1.5624,2.0578,2.4532,2.8818,2.7962,0.0349
2023-06-11,1.0999,1.2007,1.2425,1.2806,0.8835,0.7041,0.5597,0.6099,0.5979,0.0268
2023-06-16,1.0757,1.134,1.1314,1.1073,0.8143,0.6589,0.4914,0.4518,0.4751,0.0268
2023-06-21,0.8653,0.6781,0.5123,0.3427,0.401,0.5008,0.4749,0.3213,0.3243,0.0034
2023-06-26,0.8126,0.5849,0.4111,0.2536,0.1867,0.1582,0.1134,0.0569,0.0572,0.0261
2023-07-01,0.8646,0.6859,0.5345,0.3822,0.3309,0.3339,0.2723,0.1699,0.1821,0.0157
2023-07-06,0.9076,0.7801,0.6653,0.5479,0.5646,0.5494,0.3685,0.1704,0.1828,0.0608
2023-07-11,0.8695,0.6996,0.5573,0.4177,0.3966,0.3597,0.3044,0.2393,0.2395,0.0617
2023-07-16,0.8868,0.7385,0.6127,0.4881,0.36,0.2545,0.1874,0.1229,0.1212,0.0627
2023-07-21,0.9394,0.8229,0.6878,0.5225,0.4608,0.3995,0.3569,0.3143,0.3146,0.0597
2023-07-26,0.9654,0.8796,0.7639,0.6004,0.5509,0.5082,0.5149,0.5239,0.5244,0.0458
2023-07-31,0.9828,0.9202,0.8211,0.6325,0.4675,0.4057,0.3628,0.3248,0.3252,0.0458
2023-08-05,1.0416,1.0611,1.0275,0.8349,0.6442,0.5913,0.5911,0.6591,0.6591,0.0551
2023-08-10,1.1536,1.3708,1.572,1.7757,1.9564,1.7005,1.7397,1.6685,1.6534,0.9341
2023-08-15,1.1301,1.3009,1.4439,1.5586,1.6376,1.7367,1.6825,1.443,1.4299,0.699
2023-08-20,0.972,0.9231,0.8675,0.7818,0.6824,0.5992,0.4465,0.2657,0.2475,0.0711
2023-08-25,0.9655,0.9086,0.8468,0.7604,0.6817,0.6709,0.8187,0.9789,0.9984,0.0465
2023-08-30,1.0261,1.0574,1.0799,1.1055,1.1041,0.9369,0.8944,0.7363,0.7109,0.062
2023-09-04,1.0891,1.2166,1.3351,1.3454,1.2961,1.0835,0.8379,0.5187,0.5203,0.0449
