time,A_conservative,B_aggressive,C_degen,E_optimal,D_max_leverage,aud_rate
2026-08-14 13:20:25+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-14 13:21:43+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-14 13:26:31+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-14 14:16:22+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-14 15:10:53+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-14 16:09:07+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-14 17:11:10+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-14 18:10:04+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-14 19:14:52+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-14 19:59:31+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-14 20:38:57+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-14 21:02:18+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-14 21:37:16+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-14 21:58:03+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-14 22:32:01+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-14 22:57:26+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-14 23:28:51+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-14 23:52:12+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 01:19:35+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 02:28:58+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 03:20:23+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 04:04:36+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 04:44:08+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 05:10:37+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 05:45:36+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 06:13:13+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 07:01:56+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 07:41:12+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 08:03:04+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 08:42:53+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 09:11:28+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 09:44:32+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 10:02:16+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 10:36:13+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 10:57:13+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 11:26:37+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 11:47:47+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 12:01:33+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 12:56:46+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 13:35:10+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 13:57:04+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 14:29:23+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 14:52:51+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 15:22:02+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 15:47:11+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 16:01:59+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 16:37:52+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 16:59:22+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 17:29:11+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 17:50:59+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 18:32:23+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 19:01:18+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 19:31:50+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 19:53:03+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 20:24:35+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 20:49:16+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 21:08:22+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 21:34:31+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 21:54:28+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 22:23:44+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 22:48:47+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 23:08:01+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 23:33:37+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-15 23:54:27+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 01:24:49+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 02:43:23+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 03:35:00+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 04:19:20+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 04:55:34+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 05:30:50+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 05:59:08+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 06:53:53+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 07:32:34+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 07:57:46+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 08:38:42+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 09:03:07+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 09:37:49+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 09:58:43+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 10:32:00+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 10:56:57+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 11:26:17+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 11:47:25+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 12:01:39+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 12:58:11+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 13:38:14+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 13:58:53+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 14:31:46+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 14:57:10+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 15:28:31+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 15:50:09+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 16:11:17+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 16:45:38+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 17:05:13+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 17:32:09+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 17:53:31+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 18:31:11+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 19:00:13+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 19:28:35+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 19:48:09+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 20:01:07+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 20:35:36+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 20:56:31+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 21:25:23+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 21:46:15+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 22:00:30+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 22:34:07+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 22:54:58+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 23:21:40+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-16 23:45:39+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 00:00:20+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 01:50:41+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 03:01:41+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 03:59:30+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 04:53:18+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 05:36:23+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 06:04:16+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 07:13:42+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 08:04:19+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 08:57:56+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 09:51:55+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 10:34:00+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 11:01:28+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 11:36:49+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 11:58:24+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 12:59:39+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 13:47:42+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 14:13:46+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 14:48:48+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 15:12:45+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 15:44:38+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 16:03:24+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 16:42:51+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 17:49:18+00:00,70.52,70.52,70.52,70.52,70.52,0.70518
2026-08-17 18:17:14+00:00,70.4786,70.3534,70.0981,70.2691,67.3407,0.70518
2026-08-17 19:03:30+00:00,70.388,69.9911,69.1922,69.7255,61.2647,0.70518
2026-08-17 19:37:52+00:00,70.448,70.2311,69.7922,70.0855,65.2888,0.70518
2026-08-17 19:58:44+00:00,70.3701,69.9192,69.0126,69.6177,60.0595,0.70518
2026-08-17 20:36:13+00:00,70.4278,70.1503,69.5902,69.9643,63.9341,0.70518
2026-08-17 21:00:56+00:00,70.4782,70.3516,70.0936,70.2664,67.3108,0.70518
2026-08-17 21:37:17+00:00,70.349,69.8349,68.8017,69.4912,58.6451,0.70518
2026-08-17 21:58:55+00:00,70.4518,70.2459,69.8293,70.1078,65.5378,0.70518
2026-08-17 22:33:33+00:00,70.3016,69.6454,68.328,69.207,55.4677,0.70518
2026-08-17 22:58:15+00:00,70.3168,69.706,68.4794,69.2978,56.4836,0.70518
2026-08-17 23:30:35+00:00,70.5768,70.7461,71.0797,70.858,73.9246,0.70518
2026-08-17 23:56:37+00:00,70.6735,71.1328,72.0465,71.4381,80.4089,0.70518
2026-08-18 01:35:32+00:00,70.3915,70.0048,69.2265,69.7461,61.4945,0.70518
2026-08-18 02:41:26+00:00,70.1987,69.2338,67.2989,68.5895,40.4231,0.70518
2026-08-18 03:31:22+00:00,70.0128,68.4901,65.4397,67.474,40.4231,0.70518
2026-08-18 04:19:07+00:00,70.1014,68.8447,66.3262,68.0059,40.4231,0.70518
2026-08-18 04:57:33+00:00,70.2101,69.2795,67.4133,68.6582,40.4231,0.70518
2026-08-18 05:36:27+00:00,70.1819,69.1666,67.1311,68.4889,40.4231,0.70518
2026-08-18 06:00:40+00:00,70.2103,69.2801,67.4148,68.659,40.4231,0.70518
2026-08-18 07:01:24+00:00,70.3689,69.9145,69.0008,69.6107,40.4231,0.70518
2026-08-18 07:50:34+00:00,70.198,69.2308,67.2915,68.5851,40.4231,0.70518
2026-08-18 08:39:19+00:00,70.394,70.0149,69.2517,69.7612,40.4231,0.70518
2026-08-18 09:15:14+00:00,70.2405,69.401,67.717,68.8404,40.4231,0.70518
2026-08-18 09:52:40+00:00,70.0977,68.8295,66.2884,67.9832,40.4231,0.70518
2026-08-18 10:30:36+00:00,70.1493,69.0362,66.8052,68.2933,40.4231,0.70518
2026-08-18 11:00:19+00:00,70.19,69.199,67.2121,68.5374,40.4231,0.70518
2026-08-18 11:37:01+00:00,70.4518,70.2463,69.8302,70.1083,40.4231,0.70518
2026-08-18 11:59:35+00:00,70.4187,70.1138,69.499,69.9096,40.4231,0.70518
2026-08-18 13:02:15+00:00,70.1483,69.0321,66.7948,68.287,40.4231,0.70518
2026-08-18 13:54:45+00:00,70.0972,68.8277,66.2839,67.9805,40.4231,0.70518
2026-08-18 14:35:33+00:00,71.1194,72.9163,76.5053,74.1134,40.4231,0.70518
2026-08-18 15:05:57+00:00,71.0721,72.7274,76.0331,73.8301,40.4231,0.70518
2026-08-18 15:44:51+00:00,71.1165,72.9051,76.4771,74.0965,40.4231,0.70518
2026-08-18 16:13:04+00:00,71.0074,72.4685,75.3856,73.4416,40.4231,0.70518
2026-08-18 16:52:51+00:00,71.1115,72.8849,76.4266,74.0662,40.4231,0.70518
2026-08-18 17:28:56+00:00,71.109,72.8749,76.4018,74.0513,40.4231,0.70518
2026-08-18 17:56:54+00:00,70.9385,72.193,74.6969,73.0284,40.4231,0.70518
2026-08-18 18:47:31+00:00,71.0731,72.7312,76.0424,73.8356,40.4231,0.70518
2026-08-18 19:17:57+00:00,70.955,72.2589,74.8618,73.1273,40.4231,0.70518
2026-08-18 19:45:28+00:00,70.8877,71.9898,74.1891,72.7236,40.4231,0.70518
2026-08-18 20:02:06+00:00,70.8254,71.7403,73.5654,72.3494,40.4231,0.70518
2026-08-18 20:37:33+00:00,70.8369,71.7867,73.6812,72.4189,40.4231,0.70518
2026-08-18 20:59:51+00:00,70.7553,71.46,72.8644,71.9288,40.4231,0.70518
2026-08-18 21:32:46+00:00,70.8104,71.6803,73.4154,72.2594,40.4231,0.70518
2026-08-18 21:55:55+00:00,70.7683,71.5122,72.9951,72.0073,40.4231,0.70518
2026-08-18 22:26:48+00:00,70.7746,71.5372,73.0575,72.0447,40.4231,0.70518
2026-08-18 22:53:23+00:00,70.8227,71.7296,73.5386,72.3334,40.4231,0.70518
2026-08-18 23:23:49+00:00,70.9592,72.2755,74.9034,73.1522,40.4231,0.70518
2026-08-18 23:47:56+00:00,70.9978,72.43,75.2895,73.3839,40.4231,0.70518
2026-08-19 00:23:21+00:00,70.8756,71.9411,74.0673,72.6506,40.4231,0.70518
2026-08-19 02:01:58+00:00,70.4646,70.2974,69.958,70.185,40.4231,0.70518
2026-08-19 03:09:21+00:00,70.3284,69.7527,68.5963,69.368,40.4231,0.70518
2026-08-19 03:59:08+00:00,70.3819,69.9665,69.1309,69.6887,40.4231,0.70518
2026-08-19 04:45:58+00:00,70.4367,70.1857,69.6789,70.0175,40.4231,0.70518
2026-08-19 05:16:53+00:00,70.4542,70.2558,69.8541,70.1226,40.4231,0.70518
2026-08-19 05:51:05+00:00,70.3042,69.6559,68.3542,69.2227,40.4231,0.70518
2026-08-19 06:46:54+00:00,70.2999,69.6386,68.3111,69.1969,40.4231,0.70518
2026-08-19 07:26:40+00:00,70.4217,70.1257,69.5289,69.9275,40.4231,0.70518
2026-08-19 08:04:49+00:00,70.3371,69.7871,68.6824,69.4196,40.4231,0.70518
2026-08-19 08:52:05+00:00,70.5482,70.6318,70.7941,70.6867,40.4231,0.70518
2026-08-19 09:35:40+00:00,70.4685,70.313,69.9971,70.2084,40.4231,0.70518
2026-08-19 10:02:52+00:00,70.4782,70.3516,70.0936,70.2664,40.4231,0.70518
2026-08-19 10:43:36+00:00,70.4783,70.3522,70.0951,70.2673,40.4231,0.70518
2026-08-19 11:10:35+00:00,70.6305,70.9611,71.6173,71.1805,40.4231,0.70518
2026-08-19 11:44:31+00:00,70.5618,70.6861,70.9297,70.768,40.4231,0.70518
2026-08-19 12:14:35+00:00,70.7316,71.3644,72.1552,71.7846,42.3268,0.70518
2026-08-19 13:14:30+00:00,69.738,67.3608,69.3823,65.7502,32.4432,0.70518
